,industry,function,usecase,paragraph_id,sentence,usecase_indication
1422,three,service providers,revenue potential for service providers,1422,deep learning the coming wave ,0.8803311
1467,clinical operations ▪ comparative effectiveness research,clinical operations,comparative effectiveness research,1467,deep learning the coming wave ,0.8803311
1462,us health care,us health care has seen increased adoption,potential,1462,deep learning the coming wave ,0.8803311
334,navigate roads,navigate roads,navigate roads,334,size of bubble indicates variety of data number of data types ,0.8786985
1280,predictive analytics,predictive analytics,predictive analytics,1280,size of bubble indicates variety of data number of data types ,0.8786985
878,mobility services,mobility,"consumers shifting away from car ownership . by moving to mobility services , the average global consumer is likely to gain around $ 2 , 000 annually in cost savings over purchasing and maintaining a vehicle",878, share of urban users traveling less than miles per year ,0.8785782
1639,a,a,a,1639, reduced parking cost cost savings ,0.8767833
995,proactive risk assessment to anticipate complications and reduce hospital stays,proactive risk assessment,identifying,995, per person increase in productivity ,0.8761196
930,education,education,education,930,scaling mobility services ,0.8761023
926,industry preconditions ▪ the good or service,industry preconditions,the good or service has a differentiated value for each individual,926,scaling mobility services ,0.8761023
600,building frontline and management,building frontline and management capabilities,building frontline and management capabilities,600,modeling insights ,0.8756459
139,data and analytics,data and analytics,focusing on five elements,139,modeling insights ,0.8756459
1399,"organizing , planning , and prioritizing work","organizing , planning , and prioritizing work","organizing , planning , and prioritizing work",1399,number of relevant occupations ,0.87500507
1071,data and analytics,data and analytics,disruption,1071,data structure ,0.87410593
1566,who,who recommendation of three times gdp per capita,assumed impact $ / daly,1566,increase in tax collection ,0.8736663
1614,r e m u s n o c,what kind of application ? [SEP],r,1614, assembly costs ,0.8721447
893,mobility services,mobility,"increasing adoption of mobility services could lower the trajectory of global vehicles sales , potentially cutting the growth rate in half",893,consumer benefits ,0.8707645
890,data and analytics,data and analytics,disruption,890,estimated annual global impact by billion ,0.870191
63,united,united,what is main idea ? [SEP],63,united states health care ,0.86997736
1140,data and analytics,data and analytics,disruption,1140,labor markets ,0.86831
452,video game consoles,non - gaming contexts,computational power has gotten a boost from an unlikely source : video game consoles . the need for computational power to power ever more sophisticated video games has spurred the development of graphics processing units,452,growth in the volume of data expected every years ,0.8675109
900,new car sales,new car sales,new car sales,900,public benefits ,0.86715144
425,machine learning and deep learning,machine learning and deep learning,big,425,source national labor and statistical sources mckinsey global institute analysis ,0.8669629
1461,exhibit,exhibit,exhibit,1461,source national labor and statistical sources mckinsey global institute analysis ,0.8669629
1039,social,social media,social media sentiment,1039, national health expenditures ,0.86691123
1043,data,data,data,1043,delivering personalized education will require data on individual students’ learning style the knowledge and skills they already possess the goals they wish to pursue and their progress ,0.866752
1581,300,machine learning,machine learning,1581,current state across manufacturing industries ,0.8661826
1506,design - to - value crowd sourcing,design - to - value crowd sourcing,design - to - value crowd sourcing,1506,improved cross ,0.86262244
404,providing consultation and advice,providing consultation,providing consultation and advice to others,404,secretaries and administrative assistants except legal medical and executive ,0.8613408
1440,operations ▪ performance transparency ▪ labor resource,operations,performance transparency,1440,secretaries and administrative assistants except legal medical and executive ,0.8613408
756,data generation and collection,data generation and collection,data generation and collection,756, demand growth as more ,0.861043
585,tech,tech enablement,tech enablement,585,what explains the relatively slow pace of adoption and value capture in these domains and many others ,0.8584695
4,organizational,organizational challenges,organizational challenges,4,organizational challenges ,0.85781574
2,mckinsey analytics,mckinsey analytics,mckinsey analytics,2,in collaboration with mckinsey analytics ,0.85704124
1016,exhibit,exhibit,exhibit,1016,life extension ,0.8563583
1023,[SEP],notes,what is main idea ? [SEP],1023,better care ,0.855983
478,hyperscale ’ businesses,hyperscale,competition at the digital edge : ‘ hyperscale ’ businesses,478,applications nvidia corporate press release march ,0.8549372
875,mobility,mobility,assume 10 to 30 percent adoption of mobility services globally,875,share of car ,0.8548473
1142,hiring and job hunting,job preparation and discernment driven by data,this new transparency could help educational institutions better prepare students for the job market,1142,smart algorithms can improve sentencing and parole decisions while predictive policing can better direct law enforcement to crime ,0.85366106
558,healthcare,sap hana,unlock value of on - demand patient data,558, sarah perez target launches beacon test in stores will expand nationwide later this year techcrunch ,0.85337937
1509,digital factories,digital factories,digital factories,1509, performance transparency labor resource optimization ,0.8532628
1511,sensor data - driven,sensor data - driven,sensor data - driven,1511, improved sourcing ,0.85315263
1068,solution and analytics,fin,focus on a particular market niche,1068,comments on company website ,0.852889
805,personalized data,personalized data,personalized data,805, based on analysis of wikibon big data market forecast ,0.8527385
1594,m,m,m,1594, gross margin ,0.8525891
1593,a,a,a,1593, gross margin ,0.8525891
1539,technical,technical,technical,1539,accounting pricing ,0.8523487
1512,operations analytics,operations analytics,operations analytics,1512, transportation optimization ,0.8510735
92,digital,analytics,"using their capabilities to tackle business problems with a whole new mindset . in some cases , they have introduced data - driven business models that have taken entire industries by surprise . digital natives have an enormous advantage , and to keep up with them , incumbents need to apply data and analytics to the fundamentals of their existing business while simultaneously shifting the basis of competition . in an environment of increasing volatility , legacy organizations need to have one eye on high - risk , high - reward moves of their own , whether that means entering new markets or changing their business models . at the same time , they have to apply analytics to improve their core operations",92, big data the next frontier for innovation competition and productivity mckinsey global institute june ,0.85083616
1472,algorithms to improve clinical trial design,algorithms,algorithms to improve clinical trial design,1472, big data the next frontier for innovation competition and productivity mckinsey global institute june ,0.85083616
440,machine learning,machine learning,the algorithm “ learns ” from new data inputs and gets better over time,440, big data the next frontier for innovation competition and productivity mckinsey global institute june ,0.85083616
276,compression,compression,compression,276,convolutional neural network ,0.8484282
1258,"media organizations , for instance , are beginning to use this technology to deliver personalized content and advertising",advertising,radical personalization,1258,convolutional neural network ,0.8484282
1524,maintenance,maintenance,maintenance,1524,operating margin value realized change ,0.84793633
1452,optimization,optimization,optimization,1452,industrial engineers ,0.8466281
416,data and analytics,data and analytics,the data and analytics revolution,416,industrial engineers ,0.8466281
224,data - driven discovery,data - driven discovery,data - driven discovery,224, life sciences and pharmaceuticals material sciences technology ,0.846576
845,autonomous e - hailing e - hailing,autonomous e - hailing,autonomous e - hailing,845, life sciences and pharmaceuticals material sciences technology ,0.846576
962,health,globally,radical personalization,962,labor market ,0.8464569
1628,variety of data : in addition to volume,variety of data,variety of data,1628,occupation for in its employment projections data ,0.8453165
1009,"amazon , facebook , and goldman sachs",data - driven,achieve significant internal process improvements and create new products,1009,mckinsey quarterly may ,0.8437738
1571,deliver the right treatment and optimize the dose,deliver the right treatment and optimize the dose,deliver the right treatment and optimize the dose,1571,current state of eu public sector agencies ,0.843368
487,july,july,july,487, see for example drew robb are we running out of data storage space ,0.84293526
1570,private insurers,"pricing transparency on consumer choice and overall cost savings . given these percentages , we developed low and high estimates for impact from pricing transparency . we then applied these impacts to the share of national health - care costs paid by private insurers",pricing transparency on consumer choice and overall cost savings,1570,tax gap estimated at of tax revenue collected ,0.84235924
502,us health care,us health care,us health care,502,the next chapter revisits our research ,0.84015775
578,data,data,data,578, dustin charles meghan gabriel and talisha searcy adoption of electronic health record systems among us non federal acute care hospitals office of the national coordinator for health information technology data brief number april ,0.8400731
1087,pharma,pharma,machine learning for discovery : how machine learning algorithms are revolutionizing pharma,1087,developed economies ,0.83978313
100,research,end users,revenues for service providers,100, penetration of gps enabled ,0.83637065
517,data and analytics,data and analytics,investing,517, penetration of gps enabled ,0.83637065
47,data and analytics,organizational,extracting value,47,deep learning the coming wave page ,0.8345193
1138,digital,digital,managing talent,1138,health care ,0.83410454
1290,exhibit,exhibit,exhibit,1290,health care ,0.83410454
649,"data analytics or data science , and business analytics",massive open online courses,"launching programs specifically targeted to data analytics or data science , and business analytics",649,health care ,0.83410454
958,health expenditures,health,lower national health expenditures,958,health care ,0.83410454
344,clinical trials,clinical trials,optimize clinical trials,344,health care ,0.8341045
489,data and analytics,data and analytics,the data and analytics revolution,489,pinterest blablacar ola snapdeal and spotify ,0.8339555
1601,[SEP],what kind of application ? [SEP],what is main idea ? [SEP],1601, profit margin working capital one ,0.833905
161,codifying and testing,codifying and testing,codifying and testing,161,mckinsey analytics mckinsey global institute analysis ,0.8331153
620,data architecture and technology infrastructure,data,designing effective data architecture and technology infrastructure,620,mckinsey analytics mckinsey global institute analysis ,0.8331153
1552,parking,searching,time savings from parking ( time savings,1552, comparative effectiveness research ,0.83213365
1609,a,a c,a,1609,for lean manufacturing ,0.83212554
1564,iot technologies,iot technologies,sized the total across countries,1564,operational efficiency savings ,0.83179766
1036,structure,structure,structure,1036,health care cost savings per person united states ,0.8314577
243,"retail banking , for instance , is an industry rich with data on customers ’ transactions , financial status , and demographics",massive data integration,massive data integration,243,massive data integration capabilities can break down organizational silos ,0.83126205
1162,"classification , prediction / estimation , and generation","classification , prediction / estimation , and generation",reinforcement,1162, adrian booth niko mohr and peter peters the digital utility new opportunities and challenges mckinsey ,0.83082026
1645,c,c,what is main idea ? [SEP],1645, reduced number of accidents public benefit we estimated the number of accidents in both developed and developing regions based on world health organization who figures from ,0.8286386
1389,performing administrative activities,administrative,performing administrative activities,1389,mckinsey quarterly july ,0.827453
1037,data lake,data lake,data lake,1037, non us high income ,0.82657266
1531,product,product,product cost - 5 working capital,1531,levers ,0.8241253
1024,whole - saler,whole - saler,whole,1024,levers ,0.8241253
1093,continuing the status quo or avoiding risk,non - traditional,people tend to give weight to data points that back up their original hypothesis rather than fully considering those that contradict their working theory,1093,levers ,0.8241253
1505,engineering / product lifecycle management,concurrent engineering / product lifecycle management,concurrent engineering / product lifecycle management,1505,levers ,0.8241253
138,exhibit,what kind of application ? [SEP],exhibit,138,data ecosystem ,0.82293856
599,workflows,workflows,workflows,599,data ecosystem ,0.82293856
32,page,what kind of application ? [SEP],what is main idea ? [SEP],32,james manyika director mckinsey global institute ,0.82110286
1557,rides,time savings,time savings,1557, value captured ,0.81858885
1527,manufacturing,manufacturing industries,adoption,1527, value captured ,0.81858885
513,agencies,agencies,agencies,513,value captured ,0.81858885
96,"innovation , competition , and productivity",big data,"big data : the next frontier for innovation , competition , and productivity",96,value captured ,0.81858885
688,opportunities,opportunities,opportunities still uncaptured,688,states published its own federal big data r d strategic plan in focusing on the creation of a big data ecosystem that features collaboration among government agencies universities companies and non profits ,0.81389
775,targeted advertising and offers,advertising and offers,the information they synthesize can be sold to a broad range of customers,775, open data unlocking innovation and performance with liquid information mckinsey global institute ,0.81367695
701,merger or acquisition,valuation,"valuation in merger or acquisition , the value of the target ’ s data assets may partially be recorded",701, open data unlocking innovation and performance with liquid information mckinsey global institute ,0.81367695
476,digital america : a tale of the haves and have - mores,digital,digital america,476,machine intelligence research institute blog may ,0.8119398
33,talent,talent,the demand for talent,33,jonathan woetzel director mckinsey global institute ,0.8114809
144,capability building,capability building,capability building,144,tech enablement ,0.8096386
605,"strategy , leadership , and talent ; organizational structure and processes ; and technology infrastructure",data and analytics,identifying the most critical internal barriers for organizations,605,tech enablement ,0.8096386
1651,rich data,rich data,rich data,1651, proactive risk assessment to anticipate complications and reduce hospital ,0.8089831
809,bias,biases,biases,809, lane oatey blue jean images getty images ,0.8071896
622,high,high,high,622, see box identifying the most critical internal barriers for organizations ,0.8060833
1599,c,c,what is main idea ? [SEP],1599,supply chain management ,0.8054287
31,highlights,highlights,highlights,31,jacques bughin director mckinsey global institute ,0.80520225
650,cleaning and structuring data,data tools,the possibility that some part of the activities performed by data scientists may become automated,650, the need to lead in data and analytics mckinsey company survey mckinsey com april available at ,0.8032584
1535,aftersales clients,aftersales,operating cost,1535,value potential ,0.80147254
1265,[CLS],credit card,[CLS],1265,signal processing ,0.80062217
283,optimization,optimization,optimization,283,signal processing ,0.80062217
1175,generate visual objects,generate visual objects,generate visual objects,1175, andel davidow hollander and moreno the economics of health care quality and medical ,0.8001361
766,nielsen or the college board,"google , for example , made huge investments to collect data for google maps","when access is limited by physical barriers or collection is expensive , data will hold its value",766, technology advances making ,0.7983152
702,databases,databases,goodwill,702,the internet of things mapping the value beyond the hype mckinsey global institute june ,0.7979469
1166,"classification , prediction , and generation","classification , prediction , and generation problems","machine learning can help solve classification , prediction , and generation problems",1166,the internet of things mapping the value beyond the hype mckinsey global institute june ,0.7979469
721,"mortgages , credit cards , and other lending accounts",credit card,different types of data move through each part of an ecosystem,721,the internet of things mapping the value beyond the hype mckinsey global institute june ,0.7979469
463,analytics,analytics,"companies can purchase as much space as they need , greatly simplifying their data architecture and it requirements and lowering capital investment",463,the internet of things mapping the value beyond the hype mckinsey global institute june ,0.7979468
1353,training and teaching,training,training and teaching others,1353,health practitioners ,0.7962777
1466,economics and outcomes,research and performance - based pricing plans,economics and outcomes research and performance - based pricing plans,1466, science photo library pasieka getty images ,0.7936823
493,exhibit,exhibit,exhibit,493, digital america a tale of the haves and have mores mckinsey global institute december and digital ,0.7911959
130,public sector,public,european,130, digital america a tale of the haves and have mores mckinsey global institute december and digital ,0.7911959
475,"amazon , netflix , uber , airbnb , and a host of new “ fintech ” financial firms have moved into industries where incumbents were heavily invested in certain types of physical assets",fintech,allowing new players to challenge incumbents,475, luke muehlhauser and lila rieber exponential and non exponential trends in information technology ,0.79083055
1548,"vehicle purchasers / drivers ) , time savings for consumers , and benefits for the broader public","cost savings for consumers ( vehicle purchasers / drivers ) , time savings for consumers , and benefits for the broader public","cost savings for consumers ( vehicle purchasers / drivers ) , time savings for consumers , and benefits for the broader public",1548,public health ,0.79036593
41,deep learning,deep learning,deep learning,41,the data and analytics revolution gains momentum page ,0.79033995
1069,customers,integrating from different sources,incumbent institutions that are the natural owners of significant amounts of data describing the financial position and behavior of their customers,1069,basic demography e g city income ,0.7892708
264,resource allocation,resource allocation,resource allocation,264,dimensionality reduction ,0.78925884
1246,personal,predict personalized health outcomes,predict personalized health outcomes,1246,dimensionality reduction ,0.78925884
1634,s,s,what is main idea ? [SEP],1634,the internet of things mapping the value beyond the hype mckinsey global institute june and ,0.78749967
1494,impact,impact,impact potential,1494,us retail us health care and the eu public sector ,0.7851114
8,30,analytical tools of economics with the insights of business leaders . our “ micro - to - macro ” methodology examines microeconomic industry trends to better understand the broad macroeconomic forces affecting business strategy and public policy,productivity,8,current research focuses on six themes productivity and growth natural resources labor markets the evolution of global financial markets the economic impact of technology and innovation and urbanization ,0.78493243
557,health information technology,electronic health record systems,adoption of electronic health record systems,557, based on a sample of a dozen large global retail companies from their annual reports ,0.7816839
881,developed and developing countries,mobility,the shift to mobility services can improve productivity,881, fitz tepper uber has completed billion rides techcrunch july ,0.77934384
880,driving and parking,mobility services,"boosting the utilization of each vehicle , mobility services can decrease demand for parking and help reduce congestion",880,total driving distance per year thousand miles ,0.7777258
285,deep belief networks,deep belief networks,deep belief,285,encryption ,0.77741814
1267,innovation,management information systems,innovation,1267,encryption ,0.77741814
113,companies,analytical,lack of analytical talent siloed data,113,us health care ,0.776137
530,any industry,geospatial data,generate new insights and improve efficiency,530,us health care ,0.77613693
1602,b,b,b,1602, product cost ,0.77457565
1584,media and predictive maintenance in energy,radical personalization in media and predictive maintenance in energy,broad potential for different use case types across industries,1584, product cost ,0.77457565
992,economic,economic,economic,992,tangible results ,0.77324593
850,driving,driving,driving distance,850,characteristics a list that includes areas like transportation hospitality certain labor markets energy and even some public infrastructure ,0.77322775
1658,e,e,what is main idea ? [SEP],1658, disruptive technologies advances that will transform life business and the global economy mckinsey global ,0.7718234
969,monitoring,"personalizing treatments . while much of the discussion surrounding personalized medicine has focused on the last dimension , monitoring technologies and analytics could have an even bigger impact if they can be used in combination with a realignment of incentive structures to design a system that emphasizes prevention and value - based care",monitoring,969,shoppers directed to the right products for them at the right moment ,0.7715547
1275,media,media,improve casting,1275,duplicate from es ,0.7714889
1234,lower priority,lower priority,lower priority,1234,duplicate from es ,0.7714889
534,"marketing , merchandising , operations , supply - chain management , and new business models",analytics,integrating analytics,534,duplicate from es ,0.7714889
849,car,car,cumulative share of people share of car users,849,duplicate from es ,0.7714889
1311,physical ▪ sensory perception ▪ fine motor skills / dexterity ▪ gross motor skills ▪ navigation ▪ mobility,mobility,navigation ▪ mobility,1311,duplicate from es ,0.7714889
621,mc,analysis,analysis,621,duplicate from es ,0.7714889
729,data generation and collection,data generation and collection the source and platform,data generation and collection,729, training data for artificial intelligence machine learning and deep learning require ,0.7713039
529,technology,mobile location - based services,time and fuel savings,529, billion value per year annual productivity growth ,0.77022094
114,it systems,it systems,skeptical of impact,114, billion value per year annual productivity growth ,0.7702209
112,smartphones,smartphones,smartphones,112, billion value per year annual productivity growth ,0.7702209
531,retail,analytics,boost,531, billion value per year annual productivity growth ,0.7702209
548,fraud and errors in transfer payments,analytics,improve the rate of tax collection,548,opportunities still uncaptured ,0.7689551
695,"idea - and knowledge - intensive arenas , including analytical software and algorithms",analytical software and algorithms,analytical software and algorithms,695,opportunities still uncaptured ,0.7689551
651,exhibit,exhibit,exhibit,651,opportunities still uncaptured ,0.7689551
570,executives,data,changing,570,opportunities still uncaptured ,0.7689551
706,traditional industries,internal cost and revenue optimization,internal cost and revenue optimization,706,opportunities still uncaptured ,0.7689551
590,external,external data,external data,590,opportunities still uncaptured ,0.7689551
668,"government agencies , universities , companies , and non - profits",big,"creation of a big data ecosystem that features collaboration among government agencies , universities , companies , and non - profits",668,opportunities still uncaptured ,0.7689551
124,big data,big data,future of decision making,124,operating costs by to percent ,0.76759017
367,where,where required,share of dwas where current level is inadequate,367,some of the highest opportunity use cases include personalized advertising autonomous vehicles optimizing pricing routing and scheduling based on real time data in travel and logistics predicting personalized health outcomes and optimizing merchandising strategy in retail ,0.76709354
1017,retail banks,data lakes,combining traditional and new data sources in data lakes,1017,cost savings ,0.7659733
1521,time,time,time,1521,operating margin change ,0.7649469
831,collaboration,collaboration,optimize collaboration,831,human constraints ,0.76404655
210,personalized data,personalized data,personalized data,210,human constraints ,0.76404655
1366,[CLS],medical,[CLS],1366,physical sensory perception fine motor skills dexterity gross motor skills navigation ,0.76333237
1514,mc,analysis,analysis,1514, price comparison ,0.76297724
1088,drug development,drug development,machine - learning robot could streamline drug development,1088,developing economies ,0.76154685
783,data analysis is where value will accrue in most ecosystems translating data into business,data analysis,translating data into business insights is generally the most important — and most valuable — step in the data ecosystem . this is where data meet their use and user,783, lora kolodny lose it launches snap it to let users count calories in food photos techcrunch september ,0.7594149
1587,d,what kind of application ? [SEP],d,1587, concurrent ,0.7591544
227,industries where most incumbents have become used to relying on a certain kind of standardized data to make decisions,[CLS],bringing,227,repeats in report ,0.755005
162,heuristics,heuristics,informing predictor variables,162,repeats in report ,0.755005
366,detailed work activities,detailed work activities,share of detailed work activities,366,repeats in report ,0.755005
325,volume breadth and frequency of data,data,volume breadth and frequency of data,325,repeats in report ,0.755005
292,prediction,prediction,prediction,292,repeats in report ,0.755005
117,clinical,clinical,need to demonstrate clinical,117,repeats in report ,0.755005
1721,discover new trends / anomalies,discover new trends,discover new trends / anomalies,1721,data richness low ,0.7547256
1101,mc,analysis,analysis,1101,mckinsey digital and financial services practice mckinsey panorama global banking database mckinsey advanced analytics practice mckinsey ,0.7540036
28,december,december,december,28,martin wrulich ziv yaar and gordon yu ,0.752357
1150,data and analytics,data and analytics,disruption,1150,transparency allows for decisions to be reviewed and improved upon in the future ,0.75231266
485,data and analytics,analytics,adapting,485,industry digitization index ,0.7512413
497,retail1,us retail,us retail,497,quarterly march ,0.7510902
177,data,artificial intelligence,scarcity of elite data scientists has even been a factor in some acquisitions of cutting - edge artificial intelligence ( ai ) startups,177,quarterly march ,0.75109017
1286,mammographic and pathologic,clinical decision support,correlating mammographic and pathologic findings in clinical decision support,1286,finance ,0.74882066
340,merchandising,merchandising,optimize merchandising strategy,340,finance ,0.7488206
339,consumer,discover new consumer trends,discover new consumer trends,339,automotive ,0.7487231
1285,every occupation in the economy,"automate activities we currently pay people to do . previous mgi research examined the potential to automate 2 , 000 work activities in every occupation in the economy",auto,1285,automotive ,0.74872303
1188,k,k,k,1188, paper boat creative getty images ,0.74785435
997,care,the right setting for care,the right setting for care,997,radical personalization may reshape the health care system ,0.7472104
1244,pricing and scheduling,scheduling,optimize pricing and scheduling,1244, e g logistic ,0.7468452
262,"regression ( e . g . , logistic",regression,regression,262, e g logistic ,0.7468452
1532,one,one,what is main idea ? [SEP],1532,value potential usd billions ,0.7426667
1115,"energy , waste , and water","utilities can use sensors to be more responsive to changes in demand or system stresses . energy , waste , and water needs can change minute by minute , and fully automated algorithms can allow for efficient pricing and distribution . tools such as smart grids enable utilities to deliver renewable energy alongside conventional sources",utilities can use sensors to be more responsive to changes in demand or system stresses,1115, cem dilmegani bengi korkmaz and martin lundqvist public sector digitization ,0.7426117
1533,operating,operating,what is main idea ? [SEP],1533,adoption rate ,0.73861074
1522,[SEP],what kind of application ? [SEP],revenue,1522,adoption rate ,0.73861074
1766,forecasting,forecasting,forecasting,1766,impact scoring ranges from to while data richness ranges from to based on an average across breadth frequency and variety ,0.73764974
1349,performing administrative activities,administrative,performing administrative activities,1349,capability requirements ,0.73714316
1296,social ▪ social and emotional sensing ▪ social and emotional reasoning ▪ emotional and social output,social ▪ social and emotional sensing ▪ social and emotional reasoning,reasoning,1296,higher potential ,0.73657966
350,"consumer packaged goods , finance and insurance , health care , and media",strategic optimization,personalization of products and services for customers,350,higher potential ,0.73657966
441,machine learning techniques,machine learning,machine learning,441,company press release march steven rosenbush and laura stevens at ups the algorithm is the driver the wall street journal february ,0.7358686
1589,[SEP],what kind of application ? [SEP],what is main idea ? [SEP],1589,impact potential identified in report ,0.735696
661,2,2 . 1 % from current supply,2 . 1 % from current supply,661,beyond the talent shortage how tech candidates search for jobs indeed com september ,0.73083335
166,workflows,workflows,workflows,166, beyond the talent shortage how tech candidates search for jobs indeed com september ,0.73083335
870,public benefits,public benefits,public benefits,870,annual cost of mobility thousand ,0.7260233
604,"ge , mercedes - benz , ferrari f1 , and union pacific",digital native,"digital native companies have a huge natural advantage in these areas . it is harder for traditional companies to overhaul or change existing systems , but hesitating to get started can leave them vulnerable to being disrupted",604,heuristic insights smart box ,0.7242557
143,process,process redesign,process redesign,143,heuristic insights smart box ,0.7242557
1061,digital,digital,digital,1061,whole saler customer history ,0.72091067
933,health care,analytics,analytics,933,numbers may not sum due to rounding ,0.7205764
684,october,october,october,684,numbers may not sum due to rounding ,0.7205764
83,enhanced sensory,enhanced sensory,enhanced sensory,83, busco getty images ,0.71971285
1572,precision medicine and treatment selection,precision medicine and treatment selection,proxy for precision medicine and treatment selection,1572,adoption rate today compared to change ,0.7188221
62,manufacturing,manufacturing,manufacturing,62,european union public sector ,0.71797645
937,im,targeted genome editing,"radical personalization has profound implications for the way health care is delivered standardized treatments do not work for every patient , given the complexity of each person ’ s history and genetic makeup . but it is becoming possible to customize treatments and interventions",937, douglas macmillan toyota and uber reach investment lease partnership the wall street journal may ,0.715009
685,shoppers,internet of things,mapping the value beyond the hype,685,source us bureau of labor statistics burning glass mckinsey global institute analysis ,0.7139431
681,health care,analytics,"privacy , cybersecurity , and liability . all of these can discourage the use of analytics",681, from current supply ,0.7127572
1114,data and analytics,data and analytics,disruption,1114, sofi surpasses billion in funded loans bolsters leadership team company press release december ,0.7109505
960,productivity,productivity,$ 200 per person increase in productivity,960,education ,0.7091439
1562,radical personalization,radical personalization,radical personalization,1562, report estimates ,0.7085351
917,data and analytics,data and analytics,disruption,917,automotive revolution perspective towards mckinsey advanced industries practice january ,0.7078934
1635,[SEP],what kind of application ? [SEP],what is main idea ? [SEP],1635,automotive revolution perspective towards mckinsey advanced industries practice january ,0.7078934
865,reduced,reduced parking cost,reduced parking cost,865,let’s check reinventingparking org february for a roundup of studies on the utilization rates of cars including research from economist donald shoup ,0.70730436
1284,oil industry,self - learning simulation models,optimize its complex global logistics operation,1284,public social ,0.7000104
338,personal,predict personalized health outcomes,predict personalized health outcomes,338,public social ,0.7000104
1348,analyzing data or information,analyzing,analyzing,1348,activities ,0.6944137
18,data and analytics,machine learning and deep learning,"companies are placing big bets on data and analytics . but adapting to an era of more data - driven decision making has not always proven to be a simple proposition for people or organizations . many are struggling to develop talent , business processes , and organizational muscle to capture real value from analytics . this is becoming a matter of urgency , since analytics prowess is increasingly the basis of industry competition , and the leaders are staking out large advantages . meanwhile , the technology itself is taking major leaps forward — and the next generation of technologies promises to be even more disruptive",18,james manyika san francisco ,0.6937586
1005,no,analytics,ensuring access to all relevant data,1005,for example discover health an insurer based in south africa tracks its consumers’ food purchases and fitness behaviors offering rewards and incentives for healthy behavior ,0.6937275
934,job matching and training,"individualized learning experiences based on existing skills , learning style , and interests identifying an individual ’ s skills and career goals to aid job matching and training",precision wellness,934,mckinsey automotive report autos shared mobility report morgan stanley mckinsey global institute analysis ,0.69264394
461,data and analytics,data and analytics,the data and analytics revolution,461,hidden layers ,0.6922888
873,"roughly 60 percent of the economic impact occurs in developed economies , and the remainder in emerging economies",low - mileage urban travelers,assumes a 10 – 30 % adoption rate among low - mileage urban travelers,873,e hailing ,0.6898881
1057,cross - sell / upsell,risk assessment,cross - sell / upsell products,1057,data source ,0.68826574
863,202,estimated,global impact,863, lyft line uberpool ,0.68809414
983,cost,cost savings,cost savings,983,patient case is focused in high cost settings and not optimized for value ,0.68739796
1619,e r a c h t l,e,e,1619, maintenance ,0.68607485
1211,optimization,optimization,optimization,1211,classify label audio ,0.6836431
302,"objects , faces in images and video",identify,identify,302,classify label audio ,0.6836431
505,retail,functional,manufacturing levers divided by functional application,505, photoalto odilon dimier getty images ,0.6834687
970,"prevention , disease management , and wellness",analytics,dramatically reduces costs for the patient,970,advertising ,0.6816877
311,"customers , product features",trained on a set of artist ’ s paintings,predict the probability that a customer will choose another provider,311,forecast ,0.6815096
1220,prediction,prediction,prediction,1220,forecast ,0.6815096
648,opportunities,opportunities,opportunities still uncaptured,648,public sector ,0.67900634
977,"health care could be profound . the total impact could range from $ 2 trillion to $ 10 trillion on a global basis ( exhibit 12 ) . the wide range is driven by a number of factors , including how rapidly health - care systems can adopt these techniques and the high degree of uncertainty around developing new treatments",new treatments,radically personalizing the delivery of health care,977,health news august ,0.67884445
657,202,demand,demand,657,glassdoor com lists data scientist as the best job in based on number of job openings salary and career opportunities ,0.6763484
35,data and analytics,data and analytics,the data and analytics revolution,35, chombosan shutterstock ,0.6714203
2044,automotive,automotive,automotive revolution,2044,technical appendix ,0.6714027
1559,accidents,public benefit,reduced number of accidents ( public benefit,1559,technical appendix ,0.6714027
1496,mc,analysis,analysis,1496,technical appendix ,0.6714026
1468,clinical,clinical decision support tools,transparency,1468,technical appendix ,0.6714026
1932,"use cases , based on survey responses predict lifetime value and risk of churn for individual customers",use cases,predict lifetime value and risk of churn for individual customers,1932,technical appendix ,0.6714026
1987,capability,capability requirements,capability requirements,1987,technical appendix ,0.6714026
1667,real - time optimization strategic optimization predictive analytics predictive maintenance,predictive analytics,real - time optimization,1667,technical appendix ,0.6714026
1646,[SEP],what kind of application ? [SEP],what is main idea ? [SEP],1646,technical appendix ,0.6714026
1822,power generation,optimize specifications,optimize specifications in construction for power generation equipment,1822,technical appendix ,0.6714026
1627,volume,deep learning,"the more data there are , the more beneficial it is for deep learning",1627,technical appendix ,0.6714026
1877,exhibit,exhibit,exhibit,1877,technical appendix ,0.6714026
1767,labor staffing and distribution,optimize labor staffing and distribution to reduce operational costs,optimize labor staffing and distribution to reduce operational costs,1767,technical appendix ,0.6714026
1049,retail banking,analytics,improved cross - selling and the development of personalized products,1049,information from new sources relatively easily even if the data are in different formats ,0.67061853
666,data,analytical,develop analytical talent,666, see for example christof koch how the computer beat the go master scientific american march ,0.66944003
665,burning glass,analysis,burning glass,665,techcrunch january ,0.66780466
1276,"logistics , procurement timing , and inventory distribution",industry,"optimize logistics , procurement timing , and inventory distribution across warehouses and stores",1276, see the technical appendix for a detailed scoring of use cases by industry as well as a discussion of methodology ,0.6666129
611,low,low,what is main idea ? [SEP],611, sandbox ,0.6665044
152,tech,tech enablement,tech enablement,152, sandbox ,0.6665044
